Key,Value
VUCOMISS,"['int _mm_comi_round_ss(__m128 a, __m128 b, int imm, int sae);']"
UMONITOR,['void _umonitor(void *address);']
UMWAIT,"['uint8_t _umwait(uint32_t control, uint64_t counter);']"
VUNPCKHPD,"['__m512d _mm512_unpackhi_pd( __m512d a, __m512d b);']"
VUNPCKHPS,"['__m512 _mm512_unpackhi_ps( __m512 a, __m512 b);']"
VUNPCKLPD,"['__m512d _mm512_unpacklo_pd( __m512d a, __m512d b);']"
VUNPCKLPS,"['__m512 _mm512_unpacklo_ps(__m512 a, __m512 b);']"
VFMADDRND231PD,"['__m128d _mm_fmaddround_pd (__m128d a, __m128d b, __m128d c, const int ctrl);']"
VGATHERDPD:,"['__m128d _mm_i32gather_pd (double const * base, __m128i index, const int scale);', '__m128d _mm_i32gather_pd (double const * base, __m128i index, const int scale);']"
VGATHERDPS:,"['__m128 _mm_i32gather_ps (float const * base, __m128i index, const int scale);', '__m128 _mm_i32gather_ps (float const * base, __m128i index, const int scale);']"
__m256,"['_mm256_maskload_ps(float const *a, __m256i mask)']"
VPBLENDD:,"['__m128i _mm_blend_epi32 (__m128i v1, __m128i v2, const int mask)']"
VPERM2F128:,"['__m256 _mm256_permute2f128_ps (__m256 a, __m256 b, int control)']"
VPERM2I128:,"['__m256i _mm256_permute2x128_si256 (__m256i a, __m256i b, int control)']"
VPGATHERDD:,"['__m128i _mm_i32gather_epi32 (int const * base, __m128i index, const int scale);', '__m128i _mm_i32gather_epi32 (int const * base, __m128i index, const int scale);']"
VPGATHERDQ:,"['__m128i _mm_i32gather_epi64 (__int64 const * base, __m128i index, const int scale);', '__m128i _mm_i32gather_epi64 (__int64 const * base, __m128i index, const int scale);']"
VPMASKMOVD:,"['__m256i _mm256_maskload_epi32(int const *a, __m256i mask)']"
VTESTPS,"['int _mm256_testz_ps (__m256 s1, __m256 s2);', 'int _mm256_testz_ps (__m256 s1, __m256 s2);']"
VZEROALL:,['_mm256_zeroall()']
VZEROUPPER:,['_mm256_zeroupper()']
WRFSBASE,"['void _writefsbase_u32( unsigned int );', 'void _writefsbase_u32( unsigned int );']"
WRPKRU,['void _wrpkru(uint32_t);']
WRSSD,"['void _wrssd(__int32, void *);', 'void _wrssd(__int32, void *);']"
WRUSSD,"['void _wrussd(__int32, void *);', 'void _wrussd(__int32, void *);']"
XABORT,['void _xabort( unsigned int);']
XBEGIN,['unsigned int _xbegin( void );']
XEND,['void _xend( void );']
XGETBV,['unsigned __int64 _xgetbv( unsigned int);']
XRSTOR,"['void _xrstor( void * , unsigned __int64);']"
XRSTORS,"['void _xrstors( void * , unsigned __int64);']"
XSAVE,"['void _xsave( void * , unsigned __int64);']"
XSAVEC,"['void _xsavec( void * , unsigned __int64);']"
XSAVEOPT,"['void _xsaveopt( void * , unsigned __int64);']"
XSAVES,"['void _xsaves( void * , unsigned __int64);']"
XSETBV,"['void _xsetbv( unsigned int, unsigned __int64);']"
XTEST,['int _xtest( void );']
